Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
,前台,,,,2024/04/24,未开始,,,,,,Not started,,,,整理相關PYTHON 套件與功能分類 (https://www.notion.so/PYTHON-ccaf14fc748248cf8acda05fb8a64504?pvs=21),,前台工作尚未开始处理，处理日期为2024年4月24日。,,,,,,
,後台,,,,2024/04/24,未开始,,,,,,Not started,,,,整理相關PYTHON 套件與功能分類 (https://www.notion.so/PYTHON-ccaf14fc748248cf8acda05fb8a64504?pvs=21),,後台尚未開始處理，處理日期為2024/04/24。,,,,,,
,資料庫,,,,2024/04/24,未开始,,,,,,Not started,,,,整理相關PYTHON 套件與功能分類 (https://www.notion.so/PYTHON-ccaf14fc748248cf8acda05fb8a64504?pvs=21),,資料庫尚未開始處理，沒有描述。,,,,,,
,,,,,2024/04/24,未开始,,,,,,Not started,,,,整理相關PYTHON 套件與功能分類 (https://www.notion.so/PYTHON-ccaf14fc748248cf8acda05fb8a64504?pvs=21),,No content,,,,,,
官網優化 (https://www.notion.so/ce8d9eaa7b974c30982bb908d98631fa?pvs=21),幸福永續標章文案,文字已確定,,Ing,2024/04/24,未开始,,,,,24120 公司官網改版,Not started,,,,,,"""Building a happy company, creating a better future."" We have introduced professional AI customer service and advanced technology to provide fast, accurate, and personalized solutions, effectively improving customer service efficiency and reducing operating costs. This innovation in the way we work is our commitment to happiness. We are dedicated to creating a balanced and inclusive working environment while providing customized services to our customers. With a focus on agile principles, we collaborate with customers and adapt to changes, ensuring competitiveness in a dynamic market. Through comprehensive training and support, we empower every employee to face future challenges with confidence. Our commitment to happiness extends to our customers, employees, and society as a whole. Through continuous innovation and improvement, we strive not only for business success but also to fulfill the happiness vision of every employee and customer.",,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),高球工作坊所需文具/工具明細,,,Echo,2024/04/25,未开始,,,,,24111高球協進會,Not started,,,,,,高球工作坊所需文具/工具明細包括便條紙和麥克筆。,,,,,,
官網優化 (https://www.notion.so/ce8d9eaa7b974c30982bb908d98631fa?pvs=21),官網人物名單,請豪哥確認,,"Echo, Ing, Sunny",2024/04/24,未开始,,,,,24120 公司官網改版,Not started,,,,,,官網人物名單包括Sunny、Miles、Jason、Max、Vincent、姿樺、Ing、Echo、小溫、明婷、Jean等成員，涵蓋了資訊產業、系統分析、程式設計、視覺設計等多個領域的專業能力。,,,,,,
官網優化 (https://www.notion.so/ce8d9eaa7b974c30982bb908d98631fa?pvs=21),新版官網,暫放 http://i-test.justhings.com.tw/2024j/,,,2024/04/24,未开始,,,,,24120 公司官網改版,Not started,,,,,,Project name: 24120 Company Website Redesign. Work description: On hold.,,,,,,
,持續調整HTML公告文字顯示,,,亮廷,2024/04/25,未开始,,,,,24101跳蛙,Done,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,持續調整HTML公告文字顯示的專案「24101跳蛙」已完成處理。,,,,,,
,ios上架打包處理,,,VC,2024/04/25,未开始,,,,,24101跳蛙,In progress,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,"In progress: iOS app packaging for project ""24101跳蛙"" in collaboration with VC.",,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),和資策會會議-問題釐清,,,"Sam, VC, 姿樺",2024/04/24,未开始,,,,,24105爬蟲2,Done,,,,,,No content,,,,,,
,金環球小三通進度追蹤,,,Echo,2024/04/25,未开始,,,,,24103金環球,Not started,,,,,,"Project Name: 24103金環球
Status: Not started
Partner: Echo
Processing Date: 2024/04/25
Description: No content",,,,,,
,跳蛙測試,,,Echo,2024/04/25,未开始,,,,,24101跳蛙,Not started,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,No content,,,,,,
24126 資策會運動競賽 (https://www.notion.so/24126-83f12a9925e3449cb625050c6a2d5ba7?pvs=21),資策會-運動數據創新加值應用競賽,1.10萬 2.10萬 3.第一名120萬/第二名60萬/第三名20萬,,"Echo, Sunny",2024/04/26,未开始,,,,,24126 資策會運動競賽,Not started,,,,,,資策會-運動數據創新加值應用競賽尚未開始，夥伴為Echo和Sunny。專案名稱為24126 資策會運動競賽，工作說明包括獎金和截止日期。,,,,,,
無標題 (https://www.notion.so/24f9cb460602445d9290db61c8efaee9?pvs=21),律師第2次修正,,,Ing,2024/04/24,未开始,,,,,24113律師官網/AI,Not started,,,,,,律師第2次修正專案名稱為24113律師官網/AI，處理日期為2024/04/24。,,,,,,
,松下素材成品,,,Ing,2024/04/24,未开始,,,,,24123 松下AI,Done,,,,,,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),wordpress測試,,,Ing,2024/04/24,未开始,,,,,,Not started,,,,,,專案名稱為「20119 生活服務(iii)」的wordpress測試尚未開始處理，沒有任何描述。,,,,,,
24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21),頁面新增,,,姿樺,2024/04/25,未开始,,,,,24102參聯,In progress,,,,,,没有内容,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),未登入開啟頁面錯誤,,,Jason,2024/04/24,未开始,,,,,24110號誌EEP,In progress,,,,,,No content,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),爬蟲2服務計畫書,預計星期五交出,,Sam,2024/04/26,未开始,,,,,24105爬蟲2,In progress,,,,,,專案名稱為24105爬蟲2的服務計畫書，由夥伴Sam和明婷進行。工作說明預計在2024/04/26星期五交出。,,,,,,
,APP送審補程式需要文字說明及圖檔,,,Jason,2024/04/24,未开始,,,,,24101跳蛙,In progress,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,沒有內容,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),WordPress插入jQuery Ajax驗證,,,,2024/04/30,未开始,,,,,,Done,,,,,,"WordPress jQuery Ajax validation for project ""20119 生活服務(iii)"" has been completed by Max on 2024/04/30.",,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),生活服務業業者需要填寫表單,,,,2024/04/25,未开始,,,,,,Done,,,,,,生活服務業業者需要填寫表單，專案名稱為20119生活服務(iii)，由明婷處理，處理日期為2024/04/25。,,,,,,
其他 (https://www.notion.so/5d5b8ef2e6d04a239b308edbf37be88f?pvs=21),喬夥伴,搭配生活服務,,Ing,2024/04/25,未开始,,,,,24309喬_其他,Not started,,,,,,專案名稱為24309喬_其他，工作說明是搭配生活服務。處理日期為2024/04/25。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),高球工作坊報價製定,請ing製作中,,"Echo, Ing, Sunny",2024/04/25,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
,客服機器人訓練功能需求規劃,,,"Echo, Sunny",2024/04/25,未开始,,,,,24117 AI,Not started,,,,,,No content,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),客服問答回覆改成資料流,,,Miles,2024/04/25,未开始,,,,,24104長汎,Done,,,,,,客服問答回覆改成資料流專案已完成，由Miles處理，專案名稱為24104長汎。,,,,0,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),生活服務業amy影片素材,,,小溫,2024/04/29,未开始,,,,,,Done,,,,,,No content,,,,,,
,持續調整HTML優化UI公告顯示問題,,,亮廷,2024/04/26,未开始,,,,,24101跳蛙,Done,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,持續調整HTML優化UI公告顯示問題專案已完成。,,,,,,
,ios上架程式打包,,,VC,2024/04/26,未开始,,,,,24101跳蛙,In progress,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,No content,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),確認公文系統連線情況,,,VC,2024/04/26,未开始,,,,,24201派工1999維護,In progress,,,,,,確認公文系統連線情況專案正在進行中，夥伴是VC，專案名稱是24201派工1999維護，處理日期是2024/04/26。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),高球報名表A4,,,Ing,2024/04/25,未开始,,,,,24111高球協進會,Done,,,,,,高球報名表A4，專案名稱為24111高球協進會，處理日期為2024/04/25。,,,,,,
無標題 (https://www.notion.so/24f9cb460602445d9290db61c8efaee9?pvs=21),律師調整,,,Ing,2024/04/25,未开始,,,,,24113律師官網/AI,Not started,,,,,,律師調整專案名稱為24113律師官網/AI，處理日期為2024/04/25，目前尚未開始處理。,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),5/6生活服務業簡報事宜確認,,,,2024/04/26,未开始,,,,,,Not started,,,,,,No content,,,,,,
24126 資策會運動競賽 (https://www.notion.so/24126-83f12a9925e3449cb625050c6a2d5ba7?pvs=21),資策會-運動數據創新加值應用競賽,1.10萬 2.10萬 3.第一名120萬/第二名60萬/第三名20萬,,"Echo, Sunny",2024/04/25,未开始,,,,,24126 資策會運動競賽,Not started,,,,,,資策會-運動數據創新加值應用競賽尚未開始，夥伴為Echo和Sunny。專案名稱為24126資策會運動競賽，工作說明包括獎金和截止日期。,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康Demo系統盤點,,,Echo,2024/04/26,未开始,,,,,24128 紘康官網,Not started,,,,,,專案名稱為24128紘康官網的紘康Demo系統盤點尚未開始處理。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),4/30高球工作坊車次安排,,,Jean,2024/04/26,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21),頁面新增,,,姿樺,2024/04/26,未开始,,,,,24102參聯,In progress,,,,,,没有内容,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),14:00 與實習同學會議,,,姿樺,2024/04/26,未开始,,,,,24105爬蟲2,Done,,,,,,"Meeting with intern colleague, 姿樺, for the project 24105爬蟲2 was completed on 2024/04/26. No description provided.",,,,,,
,跳蛙APP 公告、鈴鐺html插圖,公告已完成，接著進行通知部分,,亮廷,2024/04/26,未开始,,,,,24101跳蛙,Done,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,没有内容,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),4/30 PM0300 Demo簡報,,,"Echo, Sunny",2024/04/29,未开始,,,,,24128 紘康官網,In progress,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),協進會客服機器人改成流方式顯示，獨立後台分出,,,Miles,2024/04/28,未开始,,,,,24111高球協進會,Done,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),北部高球工作坊,主講:Hilda,,"Echo, Sam, Sunny, 小溫",2024/04/30,未开始,,,,,24111高球協進會,Done,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),中部高球工作坊,,,"Echo, Sunny",2024/05/02,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),南部高球工作坊,,,Sunny,2024/05/03,未开始,,,,,24111高球協進會,Done,,,,,,No content,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),小project360 驗收報告,"4/30合約生效,七日內提供工作計劃書",,Echo,2024/04/29,未开始,,,,,24115 (B)Project Room 360,Not started,,,,,,小project360驗收報告尚未開始，專案名稱為24115 (B)Project Room 360。工作說明包括在4/30合約生效後七天內提供工作計劃書。,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),客服機器人提示語調整,,,"Echo, Miles",2024/04/26,未开始,,,,,24104長汎,Not started,,,,,,No content,,,,0,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),花蓮專案管理提案狀況,,,,2024/05/09,未开始,,,,,24115 (B)Project Room 360,Not started,,,2024年4月2日,,,專案名稱為24115 (B)Project Room 360，狀態為未開始，截止日期為2024年4月2日，夥伴為明婷。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),工作坊工作分派,簡報準備、 業務準備,,"Echo, Jean, Miles, Sunny",2024/04/28,未开始,,,,,24111高球協進會,Not started,,,,,,"Project Name: 24111 Golf Association. Workshop tasks include preparing presentations and operational readiness. Partners involved are Echo, Hilda, Jean, Miles, Sunny, and 明婷. The project is scheduled to be processed on April 28, 2024.",,,,,,
無標題 (https://www.notion.so/24f9cb460602445d9290db61c8efaee9?pvs=21),上線，列入維運工作,,,"Ing, Miles",2024/04/28,未开始,,,,,24113律師官網/AI,Not started,,,,,,No content,,,,,,
24121 智慧社區(iii) (https://www.notion.so/24121-iii-0d24de8ee0bf4be4955418fff0f4dfdd?pvs=21),取消,時間來不及做，此次不做,,Sunny,2024/04/28,未开始,,,,,,Not started,,,,,,取消專案24121智慧社區(iii)，因時間不足而不進行。,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),獎項1 報獎,報獎 ，做報獎 SOP,,"Echo, Sunny",2024/04/28,未开始,,,,,24122 花蓮獎項輔導案_建順,Not started,,,,,,No content,,建順,啟銘,,,
,APP通知也要調整成HTML顯示格式、研究APP針對不同螢幕大小顯示問題,,,亮廷,2024/04/29,未开始,,,,,24101跳蛙,Done,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,專案名稱為24101跳蛙，已完成APP通知的HTML顯示格式調整，並進行了針對不同螢幕大小的顯示問題的研究。,,,,,,
其他 (https://www.notion.so/5d5b8ef2e6d04a239b308edbf37be88f?pvs=21),開始規劃,,,"Echo, Sunny",2024/04/29,未开始,,,,,,Not started,,,,,,專案名稱: 資策會運動競賽。處理日期: 2024/04/29。尚未開始規劃。,,,,,,
,修改app上架測試問題,,,VC,2024/04/29,未开始,,,,,24101跳蛙,In progress,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,In progress: VC is working on resolving the app submission testing issue for project 24101跳蛙.,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
24106 樹德顧問 (https://www.notion.so/24106-ff3a9fda3bf547f3a6687c5f56ddec97?pvs=21),樹德AI課程表,,,"Echo, Sunny",2024/04/29,未开始,,,,,24106樹德顧問,Not started,,,,,,樹德AI課程表專案尚未開始，夥伴包括Echo和Sunny。處理日期為2024年4月29日。,,,,,,
官網優化 (https://www.notion.so/ce8d9eaa7b974c30982bb908d98631fa?pvs=21),調整公司官網,,,Ing,2024/04/26,未开始,,,,,24120 公司官網改版,Not started,,,,,,No content,,,,,,
無標題 (https://www.notion.so/24f9cb460602445d9290db61c8efaee9?pvs=21),律師官網最終修正與上線,,,Ing,2024/04/26,未开始,,,,,24113律師官網/AI,Not started,,,,,,律師官網最終修正與上線專案尚未開始處理。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),A4廣宣完稿交付印刷,,,Ing,2024/04/26,未开始,,,,,24111高球協進會,Not started,,,,,,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),woredpress 開發樣板,3版型,,Ing,2024/04/29,未开始,,,,,,Not started,,,,,,"Project Name: 20119 Life Services (iii)
Work Description: Develop 3 templates for WordPress. Project status is not started and the task will be handled by Ing. Processing date is 2024/04/29.",,,,,,
24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21),頁面新增,,,姿樺,2024/04/29,未开始,,,,,24102參聯,In progress,,,,,,頁面新增專案名稱為24102參聯，處理日期為2024/04/29，目前正在進行中。,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),簡報檔整理交付,,,,2024/04/29,未开始,,,,,,In progress,,,,,,"In progress: Presentation file organization and delivery for the 20119 Lifestyle Services (iii) project, with partner Ming Ting. Processing date: 2024/04/29.",,,,,,
,跳蛙Android APP測試,,,Echo,2024/04/29,未开始,,,,,24101跳蛙,Not started,,,,處理ios推播 (https://www.notion.so/ios-5c00cbbbab704d4aa2e47c6eefc2fb99?pvs=21),,No content,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),生活服務簡報,,,,2024/05/06,未开始,,,,,,In progress,,,,,,No content,,,,,,
其他 (https://www.notion.so/5d5b8ef2e6d04a239b308edbf37be88f?pvs=21),VBA 洽談,執行長要我們去談，約時間,,"Miles, Sunny, VC",2024/04/29,未开始,,,,,24129 松下VBA,Not started,,,,,,VBA洽談專案名稱為24129松下VBA，執行長要求安排談話，約定日期為2024/04/29。,,,,,,
"其他 (https://www.notion.so/5d5b8ef2e6d04a239b308edbf37be88f?pvs=21), 24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21)",準備明天工作坊及業務,,,"Echo, Ing, Jason, Jean, Miles, Sam, Sunny, VC, 小溫",2024/04/29,未开始,,,,,24111高球協進會,Done,,,,,,準備明天的工作坊及業務，專案名稱為24111高球協進會，處理日期為2024/04/29。夥伴包括Echo、Hilda、Ing、Jason、Jean、Max、Miles、Sam、Sunny、VC、小溫和明婷。,,,,,,
智能櫃 (https://www.notion.so/61527d3376744f71bf03ad10f4eeb527?pvs=21),去刑大上版後台、環控告警,,,Jason,2024/04/27,未开始,,,,,24118 智能櫃,Not started,,,,,,專案名稱為24118智能櫃，目前尚未開始，夥伴為Jason。,,,,,,
中華電信_花蓮號誌EEP (https://www.notion.so/_-EEP-76f2e91739bf4333bc204709883037c4?pvs=21),修改前台號控資料未同步,,,Jason,2024/04/27,未开始,,,,,24110號誌EEP,In progress,,,,,,"The document titled ""修改前台號控資料未同步"" provides information about the project ""24110號誌EEP"" and its status as ""In progress"". The description is empty.",,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),問題查找*2,,,"Sam, VC",2024/04/29,未开始,,,,,24201派工1999維護,In progress,,,,,,No content,,,,,,
,課程內容確認,,,"Miles, Sam",2024/04/29,未开始,,,,,24123 松下AI,In progress,,,,,,課程內容確認專案名稱為24123 松下AI，處理日期為2024/04/29。目前專案正在進行中，夥伴包括Miles和Sam。,,,,,,
,課程內容簡報製作（截止日期,,,,2024/04/29,未开始,,,,,24123 松下AI,Not started,,,,,,專案名稱為24123 松下AI的課程內容簡報製作尚未開始，沒有提供詳細描述。,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),高球協進會官網後台規劃,,,"Echo, Miles, Sunny",2024/04/29,未开始,,,,,24111高球協進會,Not started,,,,,,高球協進會官網後台規劃專案尚未開始，夥伴包括Echo、Miles和Sunny。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),服務建議書給一版電子檔、報價單修改,,,,2024/04/29,未开始,,,,,24105爬蟲2,In progress,,,,,,服務建議書給一版電子檔、報價單修改專案正在進行中，與夥伴明婷合作。專案名稱為24105爬蟲2。,,,,,,
24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21),頁面新增,,,姿樺,2024/04/30,未开始,,,,,24102參聯,Done,,,,,,沒有內容,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),網站1期5個+2期1個，爬蟲增加抓取有排版的元素,,,姿樺,2024/04/30,未开始,,,,,24105爬蟲2,In progress,,,,,,專案名稱為24105爬蟲2，目標是增加抓取有排版的元素，專案由Sunny: 姿樺負責，處理日期為2024/04/30。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),更新實習同學爬蟲程式到正式環境，被網站擋掉修復中,,,姿樺,2024/04/30,未开始,,,,,24105爬蟲2,In progress,,,,,,更新實習同學的爬蟲程式到正式環境時遭到網站擋掉，目前正在修復中。專案名稱為24105爬蟲2，夥伴是姿樺。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),測試APP不同螢幕大小顯示問題(IOS),,,亮廷,2024/05/02,未开始,,,,,24101跳蛙,Done,,,,,,測試APP在不同螢幕大小上的顯示問題(IOS)已完成。專案名稱為24101跳蛙，由亮廷負責。,,,,,,
24119  生活服務(iii) (https://www.notion.so/24119-iii-6985b57fe1694a9cb423b9712664a78a?pvs=21),wordpress樣板2,,,Ing,2024/04/30,未开始,,,,,,Not started,,,,,,No content,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康報價單,,,"Echo, Sunny",2024/05/02,未开始,,,,,24128 紘康官網,Done,,,,,,没有内容,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),長汎客服機器人問題回覆,,,"Echo, Sunny",2024/05/02,未开始,,,,,24104長汎,Done,,,,,,回覆長汎客服機器人問題，專案名稱為24104長汎，夥伴為Echo和Sunny。附上了20240430立榮假期AI客服模擬使用心得分享的PDF文件。,,,,0,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),喬思齊系統模組Demo,,,"Echo, Sunny",2024/04/30,未开始,,,,,24128 紘康官網,Done,,,,,,沒有內容,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),高球協進會官網後台規劃,,,"Echo, Miles, Sunny",2024/05/07,未开始,,,,,24111高球協進會,Not started,,,,,,專案名稱：24111高球協進會，狀態：未開始，夥伴：Echo、Miles、Sunny,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙APP現在進度,,,"Echo, VC, 亮廷",2024/05/02,未开始,,,,,24101跳蛙,Not started,,,,,,專案名稱為24101跳蛙的跳蛙APP目前尚未開始進行，夥伴包括Echo、VC和亮廷。,,,,,,
iii爬蟲2 (https://www.notion.so/iii-2-6e83cb7b6f814280b5c2c72f836db35b?pvs=21),更新實習同學爬蟲程式到正式環境,,,姿樺,2024/05/02,未开始,,,,,24105爬蟲2,In progress,,,,,,正在進行將更新實習同學的爬蟲程式部署到正式環境的工作。專案名稱為24105爬蟲2，合作夥伴是姿樺。,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),study a-frame,,,,2024/04/30,未开始,,,,,24115 (B)Project Room 360,In progress,,,,,,No content,,,,,,
24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21),金環球正式端測試,,,Miles,2024/05/02,未开始,,,,,24102參聯,Not started,,,,,,金環球正式端測試專案名稱為24102參聯，由Miles擔任夥伴。尚未開始，描述內容為空。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),app問題處理,,,VC,2024/05/02,未开始,,,,,24101跳蛙,In progress,,,,,,No content,,,,,,
24115  (B)Project Room 360 (https://www.notion.so/24115-B-Project-Room-360-f88900ea33c147688db21d8beff64224?pvs=21),project room360 工作計劃書,,,Echo,2024/05/06,未开始,,,,,24115 (B)Project Room 360,Done,,,,,,專案名稱為24115 (B)Project Room 360，與夥伴Echo合作。狀態為完成，但描述內容為空。,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,Task is not started.,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,The task is not started and there is no description provided.,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
,kuhkjh,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
,Task,,,,,未开始,,,,,,Not started,,,,,,No content,,,,,,
24111 高球協進會 (https://www.notion.so/24111-5b3f769886b2405b8aec1b09f6dddaf8?pvs=21),Line調整,,,Miles,2024/05/02,未开始,,,,,24111高球協進會,Done,,,,,,No content,,,,,,
,Embedding、向量資料庫研發,,,Miles,2024/05/03,未开始,,,,,24123 松下AI,In progress,,,,,,No content,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),測試APP不同螢幕大小顯示問題(Android),,,亮廷,2024/05/03,未开始,,,,,24101跳蛙,Done,,,,,,没有内容,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),APP送審進度,,,"Echo, Jason, VC, 亮廷",2024/05/03,未开始,,,,,24101跳蛙,Not started,,,,,,APP送审进度为未开始，项目名称为24101跳蛙。,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),app問題處理,"找到可能的問題點,解決中",,VC,2024/05/03,未开始,,,,,24101跳蛙,In progress,,,,,,"In progress: App troubleshooting for project ""24101跳蛙"" with partner VC. Currently working on identifying and resolving possible issues.",,,,,,
客服機器人 (https://www.notion.so/07d5da46f2df43d4b4a15dc4d00582ad?pvs=21),專案管理協會演講,講綱完成,,,2024/05/03,未开始,,,,,24117 AI,Not started,,,,,,本次專案管理協會演講將深入探討生成式人工智慧（Generative AI）在專案管理和軟體開發中的應用，包括自動化文檔生成、溝通和協作增強、代碼生成和優化等。課程旨在幫助參與者了解生成式AI的重要性和價值，並通過實例分析和案例分享進一步探索其應用方式和效果。,,,,,,
24122 花蓮獎項輔導案_建順 (https://www.notion.so/24122-_-c5c4612da15a4750b4003bf8898640fa?pvs=21),SOP,SOP說明,,"Echo, Jean, Sunny",2024/05/03,未开始,,,,,24122 花蓮獎項輔導案_建順,Not started,,,,,,"SOP for project 24122 Hualien Award Coaching Plan_Jianshun, with Echo, Jean, Sunny, and Mingting as partners. The description is empty.",,,,,,
